"name","SMILES","InChI","InChIKey","formula","neutralMass","molNeutralized","mz"
"Citalopram-TP25","CN(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)C(=O)C=CC(=C(C(=O)O)O)F","InChI=1S/C20H22FNO7/c1-22(2)9-3-8-20(16(23)7-6-15(21)17(24)19(27)28)14-5-4-12(18(25)26)10-13(14)11-29-20/h4-7,10,24H,3,8-9,11H2,1-2H3,(H,25,26)(H,27,28)/b7-6+,17-15?","CDWXYYUPHARWKR-VQKMQXLYSA-N","C20H22FNO7",407.138030264,TRUE,NA
"Citalopram-TP26","N(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)c1c(c(c(cc1)F)O)O","InChI=1S/C19H20FNO5/c1-21-8-2-7-19(14-5-6-15(20)17(23)16(14)22)13-4-3-11(18(24)25)9-12(13)10-26-19/h3-6,9,21-23H,2,7-8,10H2,1H3,(H,24,25)","XLCYGBYNDKAXKP-UHFFFAOYSA-N","C19H20FNO5",361.13255096,TRUE,NA
"Citalopram-TP27","C(=O)CCC1(c2c(CO1)cc(cc2)C(=O)O)c1c(c(c(cc1)F)O)O","InChI=1S/C18H15FO6/c19-14-5-4-13(15(21)16(14)22)18(6-1-7-20)12-3-2-10(17(23)24)8-11(12)9-25-18/h2-5,7-8,21-22H,1,6,9H2,(H,23,24)","RRSUIVWIZHLXCU-UHFFFAOYSA-N","C18H15FO6",346.08526642,TRUE,NA
"Citalopram-TP28","CN(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)C(=O)O","InChI=1S/C15H19NO5/c1-16(2)7-3-6-15(14(19)20)12-5-4-10(13(17)18)8-11(12)9-21-15/h4-5,8H,3,6-7,9H2,1-2H3,(H,17,18)(H,19,20)","OSJLPWUSWUOPPF-UHFFFAOYSA-N","C15H19NO5",293.126322708,TRUE,NA
"Citalopram-TP30","CN(C)CCCC1(C2=CC([C](=[CH]=C2CO1)(C(=O)O)O)O)c1c(c(c(cc1)F)O)O","InChI=1S/C20H24FNO7/c1-22(2)7-3-6-20(12-4-5-14(21)17(25)16(12)24)13-8-15(23)19(28,18(26)27)9-11(13)10-29-20/h4-5,8-9,15,23-25,28H,3,6-7,10H2,1-2H3,(H,26,27)","RQDMYHITSUIABB-UHFFFAOYSA-N","C20H24FNO7",409.153680328,TRUE,NA
"Citalopram-TP31","CN(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)C(=CC=C(C(=O)O)F)C(=O)O","InChI=1S/C20H22FNO7/c1-22(2)9-3-8-20(15(18(25)26)6-7-16(21)19(27)28)14-5-4-12(17(23)24)10-13(14)11-29-20/h4-7,10H,3,8-9,11H2,1-2H3,(H,23,24)(H,25,26)(H,27,28)/b15-6+,16-7?","LUYFUJXGCCQJIV-LUWHZCIRSA-N","C20H22FNO7",407.138030264,TRUE,NA
"Citalopram-TP32","CN(C)CCCC1(C2=C(CO1)C=C(C(=C2O)O)O)C3=CC=C(C=C3)F","InChI=1S/C19H22FNO4/c1-21(2)9-3-8-19(13-4-6-14(20)7-5-13)16-12(11-25-19)10-15(22)17(23)18(16)24/h4-7,10,22-24H,3,8-9,11H2,1-2H3","MXVNGPNMDYOSQS-UHFFFAOYSA-N","C19H22FNO4",347.153286404,FALSE,NA
"Citalopram-TP33","N(C)CCCC1(c2c(CO1)cc(c(c2O)O)C(=O)O)c1ccc(cc1)F","InChI=1S/C19H20FNO5/c1-21-8-2-7-19(12-3-5-13(20)6-4-12)15-11(10-26-19)9-14(18(24)25)16(22)17(15)23/h3-6,9,21-23H,2,7-8,10H2,1H3,(H,24,25)","UGMIHVMGJLKEHW-UHFFFAOYSA-N","C19H20FNO5",361.13255096,TRUE,NA
"Citalopram-TP34","C(=O)CCC1(c2c(CO1)cc(c(c2O)O)C(=O)O)c1ccc(cc1)F","InChI=1S/C18H15FO6/c19-12-4-2-11(3-5-12)18(6-1-7-20)14-10(9-25-18)8-13(17(23)24)15(21)16(14)22/h2-5,7-8,21-22H,1,6,9H2,(H,23,24)","ARPGWNNBLDPIFN-UHFFFAOYSA-N","C18H15FO6",346.08526642,TRUE,NA
"Citalopram-TP35","CN(C)CCCC1(c2c(C(O1)O)cc(c(c2O)O)C(=O)O)c1ccc(cc1)F","InChI=1S/C20H22FNO6/c1-22(2)9-3-8-20(11-4-6-12(21)7-5-11)15-13(19(27)28-20)10-14(18(25)26)16(23)17(15)24/h4-7,10,19,23-24,27H,3,8-9H2,1-2H3,(H,25,26)","DVAQGOYBFIQQJV-UHFFFAOYSA-N","C20H22FNO6",391.143115644,TRUE,NA
